museum_id,name,city,state,country,lat,lng,address,website_url,opening_hours,has_full_content,hero_image_url,tags,hightlight
q38236287-q56412904-czech-republic,Q38236287,Q56412904,Královéhradecký kraj,Czech Republic,50.432795,15.786320,"ZOO Dvůr Králové, Štefánikova, Dvůr Králové nad Labem, okres Trutnov, Královéhradecký kraj, Severovýchod, 544 01, Česko",,See website,FALSE,https://commons.wikimedia.org/wiki/Special:FilePath/Dv%C5%AFr%20Kr%C3%A1lov%C3%A9%20nad%20Labem%20from%20air%203.jpg,history,FALSE
q52423041-haarlem-netherlands,Q52423041,Haarlem,Noord-Holland,Netherlands,52.368611,4.630000,"3, Hertenkamplaan, Haarlem, Noord-Holland, Nederland, 2012 CV, Nederland",http://www.houthoeve.nl/,See website,FALSE,https://logo.clearbit.com/houthoeve.nl?size=512,history,FALSE
finnish-customs-museum-helsinki-finland,Finnish Customs Museum,Helsinki,Uusimaa,Finland,60.144282,24.981580,"Tullimuseo, B 20, Pikku mustasaaren silta, Suomenlinna, Eteläinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, 00190, Suomi / Finland",,See website,FALSE,https://commons.wikimedia.org/wiki/Special:FilePath/Tullimuseo%2C%20Suomenlinna%2C%20Helsiki%2C%20Finsko%2003.jpg,history,FALSE
animal-park-vleuten-utrecht-netherlands,Animal park Vleuten,Utrecht,Utrecht,Netherlands,52.105139,5.004083,"Broederschaplaan, Vleuten, Vleuten - De Meern, Utrecht, Nederland, 3451 ZD, Nederland",https://www.dierenweidevleuten.nl,See website,FALSE,https://logo.clearbit.com/dierenweidevleuten.nl?size=512,history,FALSE
q76629722-wegscheid-deutschland,Q76629722,Wegscheid,Bayern,Deutschland,48.599752,13.791662,"Ebenäckerring, Wegscheid, Landkreis Passau, Bayern, 94110, Deutschland",,See website,FALSE,,history,FALSE
cebu-safari-and-adventure-park-corte-philippines,Cebu Safari and Adventure Park,Corte,Cebu,Philippines,10.588627,123.961289,"Mount Manghilao trail, Masaba, Cebu, Central Visayas, 6004, Philippines",https://cebusafari.ph,See website,FALSE,https://logo.clearbit.com/cebusafari.ph?size=512,history,FALSE
etawah-safari-park-uttar-pradesh-india,Etawah Safari Park,Uttar Pradesh,Uttar Pradesh,India,26.767261,79.001896,"Etawah, Uttar Pradesh, 206001, India",https://etawahlionsafari.org/,See website,FALSE,https://logo.clearbit.com/etawahlionsafari.org?size=512,history,FALSE
ferme-du-parc-maximilien-boerderij-van-het-maximiliaanpark-city-of-brussels-belgium,Ferme du Parc Maximilien - Boerderij van het Maximiliaanpark,City of Brussels,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest,Belgium,50.858560,4.350070,"Quai du Batelage - Schipperijkaai, Quartier Alhambra - Alhambrawijk, Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",http://www.lafermeduparcmaximilien.be/,See website,FALSE,https://logo.clearbit.com/lafermeduparcmaximilien.be?size=512,history,FALSE
q111659817-buchen-germany,Q111659817,Buchen,Baden-Württemberg,Germany,49.475347,9.365794,"Streicheltierpark Eberstadt, Brunnenweg, Eberstadt, Buchen (Odenwald), Neckar-Odenwald-Kreis, Baden-Württemberg, 74722, Deutschland",,See website,FALSE,https://commons.wikimedia.org/wiki/Special:FilePath/Grammlichs%20Tierpark%202023%2000.jpg,history,FALSE
thorpe-farm-runnymede-uk,Thorpe Farm,Runnymede,England,United Kingdom,51.408616,-0.526764,"Coldharbour Lane, Eastly End, Thorpe, Runnymede, Surrey, England, TW20 8TD, United Kingdom",http://www.thorpepark.com/,See website,FALSE,,history,FALSE
osterreichisches-zollmuseum-vienna-austria,Österreichisches Zollmuseum,Vienna,,Austria,48.176757,16.401973,"14, Brehmstraße, KG Simmering, Simmering, Wien, 1110, Österreich",,See website,FALSE,,history,FALSE
petting-zoo-de-trotse-pauw-nissewaard-netherlands,Petting Zoo De Trotse Pauw,Nissewaard,Zuid-Holland,Netherlands,51.846291,4.331306,"101, Marrewijkpad, Centrum, Spijkenisse, Nissewaard, Zuid-Holland, Nederland, 3201 PK, Nederland",https://www.vriendenvandetrotsepauw.nl/,See website,FALSE,https://logo.clearbit.com/vriendenvandetrotsepauw.nl?size=512,nature,FALSE
kinderboerderij-ijsselstee-nieuwegein-netherlands,Kinderboerderij IJsselstee,Nieuwegein,Utrecht,Netherlands,52.022500,5.082778,"Museum Warsenhoeck, 11, Geinoord, Stadscentrum, Nieuwegein, Utrecht, Nederland, 3432 PE, Nederland",https://www.natuurkwartier.nl/wie-zijn-wij/kinderboerderij-ijsselstee,See website,FALSE,https://logo.clearbit.com/natuurkwartier.nl?size=512,history,FALSE
kiwi-valley-farm-park-auckland-region-new-zealand,Kiwi Valley Farm Park,Auckland Region,Auckland,New Zealand,-36.896000,174.600300,"365, Henderson Valley Road, Henderson Valley, Waitākere Ranges, Auckland, 0650, New Zealand / Aotearoa",https://www.kiwivalley.co.nz/,See website,FALSE,https://logo.clearbit.com/kiwivalley.co.nz?size=512,history,FALSE
q119072279-morelos-mexico,Q119072279,Morelos,Morelos,Mexico,18.613727,-99.446186,"Zoofari, Calle del Toreo, Amacuzac, Morelos, 62640, México",https://zoofari.com.mx/,See website,FALSE,https://logo.clearbit.com/zoofari.com.mx?size=512,history,FALSE
q123497225-sant-llorenc-des-cardassar-spain,Q123497225,Sant Llorenç des Cardassar,Illes Balears,Spain,39.582709,3.361841,"Safari-Zoo, Ma-4023, Sant Llorenç des Cardassar, Llevant, Illes Balears, 07680, España",https://www.safari-zoo.com/mallorca/?lang=es,See website,FALSE,https://logo.clearbit.com/safari-zoo.com?size=512,history,FALSE
kinderboerderij-dierendorp-heemskerk-netherlands,"Kinderboerderij Dierendorp, Heemskerk",Heemskerk,Noord-Holland,Netherlands,52.508578,4.677156,"1, Vrijburglaan, Poelenburg, Heemskerk, Noord-Holland, Nederland, 1962 VA, Nederland",,See website,FALSE,,history,FALSE
beacon-hill-childrens-farm-victoria-canada,Beacon Hill Children's Farm,Victoria,British Columbia,Canada,48.411600,-123.364040,"Queenie Memorial, Circle Drive, James Bay, Victoria, Capital Regional District, British Columbia, V8V 2N9, Canada",https://beaconhillchildrensfarm.ca/,See website,FALSE,https://logo.clearbit.com/beaconhillchildrensfarm.ca?size=512,history,FALSE
eltz-castle-wierschem-germany,Eltz Castle,Wierschem,Rheinland-Pfalz,Germany,50.205000,7.336667,"Burg Eltz, Wierschem, Maifeld, Landkreis Mayen-Koblenz, Rheinland-Pfalz, 56294, Deutschland",https://burg-eltz.de/,See website,FALSE,https://logo.clearbit.com/burg-eltz.de?size=512,history,FALSE
graach-gate-bernkastel-kues-germany,Graach Gate,Bernkastel-Kues,Rheinland-Pfalz,Germany,49.916972,7.075861,"Heimatmuseum Graacher Tor, Graacher Straße, Bernkastel, Bernkastel-Kues, Landkreis Bernkastel-Wittlich, Rheinland-Pfalz, 54470, Deutschland",,See website,FALSE,https://commons.wikimedia.org/wiki/Special:FilePath/Graacher%20Tor.JPG,history,FALSE
tsitsernakaberd-yerevan-armenia,Tsitsernakaberd,Yerevan,,Armenia,40.185821,44.488114,"Հրազդանի կիրճ փողոց, Կենտրոն, Երևան, 0028, Հայաստան",http://www.genocide-museum.am/,See website,FALSE,https://logo.clearbit.com/genocide-museum.am?size=512,history,FALSE
charlottenburg-palace-berlin-germany,Charlottenburg Palace,Berlin,,Germany,52.521111,13.295833,"Schloss Charlottenburg, 10, Spandauer Damm, Danckelmannkiez, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 14059, Deutschland",https://www.spsg.de/schloesser-gaerten/objekt/schloss-charlottenburg-altes-schloss/,See website,FALSE,https://logo.clearbit.com/spsg.de?size=512,history,FALSE
wurzburg-residence-wurzburg-germany,Würzburg Residence,Würzburg,Bayern,Germany,49.792798,9.938889,"Residenz Würzburg, 2, Residenzplatz, Innenstadt, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland",https://www.schloesser.bayern.de/englisch/palace/objects/wu_res.htm,See website,FALSE,https://logo.clearbit.com/schloesser.bayern.de?size=512,history,FALSE
hohenzollern-castle-bisingen-germany,Hohenzollern Castle,Bisingen,Baden-Württemberg,Germany,48.323561,8.967400,"1, Burg Hohenzollern, Zimmern, Bisingen, VVG der Gemeinde Bisingen, Zollernalbkreis, Baden-Württemberg, 72379, Deutschland",https://www.burg-hohenzollern.com,See website,FALSE,https://logo.clearbit.com/burg-hohenzollern.com?size=512,history,FALSE
yad-vashem-jerusalem-israel,Yad Vashem,Jerusalem,מחוז ירושלים,Israel,31.774424,35.177248,"יפה נוף, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9768112, ישראל",https://www.yadvashem.org/,See website,FALSE,https://commons.wikimedia.org/wiki/Special:FilePath/http%3A%2F%2Fcommons.wikimedia.org%2Fwiki%2FSpecial%3AFilePath%2FYad%2520Vashem%2520Logo.svg,history,FALSE
moritzburg-castle-moritzburg-germany,Moritzburg Castle,Moritzburg,Sachsen,Germany,51.167572,13.679611,"Moritzburg, Meißen, Sachsen, 01468, Deutschland",https://www.schloss-moritzburg.de/de/startseite/,See website,FALSE,https://logo.clearbit.com/schloss-moritzburg.de?size=512,history,FALSE
pergamon-museum-bezirk-mitte-germany,Pergamon Museum,Bezirk Mitte,,Germany,52.521000,13.396000,"172, Stadtbahnbogen, Mitte, Berlin, 10117, Deutschland",https://www.smb.museum/museen-einrichtungen/pergamonmuseum/,See website,FALSE,https://logo.clearbit.com/smb.museum?size=512,history,FALSE
neues-museum-bezirk-mitte-germany,Neues Museum,Bezirk Mitte,,Germany,52.520200,13.397600,"Der Sämann, Bodestraße, Friedrichswerder, Mitte, Berlin, 10117, Deutschland",https://www.smb.museum/museen-einrichtungen/neues-museum/home/,See website,FALSE,https://logo.clearbit.com/smb.museum?size=512,history,FALSE
abbey-and-altenmunster-of-lorsch-germany,Abbey and Altenmünster of Lorsch,Lorsch,Hessen,Germany,49.653690,8.568580,"Zehntscheune, 36, Nibelungenstraße, Viehweide, Lorsch, Kreis Bergstraße, Hessen, 64653, Deutschland",http://www.kloster-lorsch.de/,See website,FALSE,https://logo.clearbit.com/kloster-lorsch.de?size=512,history,FALSE
maulbronn-monastery-maulbronn-germany,Maulbronn Monastery,Maulbronn,Baden-Württemberg,Germany,49.001100,8.812900,"Kreuzgang, Maulbronn (Stadt), Maulbronn, VVG der Stadt Maulbronn, Enzkreis, Baden-Württemberg, 75433, Deutschland",http://www.kloster-maulbronn.de/,See website,FALSE,https://logo.clearbit.com/kloster-maulbronn.de?size=512,history,FALSE
the-philippi-collection-tholey-germany,The Philippi Collection,Tholey,Saarland,Germany,49.481972,7.031028,"9, Metzer Straße, Tholey, Landkreis St. Wendel, Saarland, 66636, Deutschland",https://philippi-collection.de/,See website,FALSE,https://logo.clearbit.com/philippi-collection.de?size=512,history,FALSE
villa-schminke-lobau-germany,Villa Schminke,Löbau,Sachsen,Germany,51.100400,14.659400,"Haus Schminke, 1b, Kirschallee, Kleingärtnerverein ""Morgenrot"", Altlöbau, Löbau, Görlitz, Sachsen, 02708, Deutschland",https://www.stiftung-hausschminke.eu/de/Besuchen/,See website,FALSE,https://logo.clearbit.com/stiftung-hausschminke.eu?size=512,history,FALSE
german-bratwurst-museum-muhlhausenthuringia-germany,German Bratwurst Museum,Mühlhausen/Thuringia,Thüringen,Germany,51.195246,10.396731,"Weiße-Haus-Chaussee, Weidensee, Mühlhausen/Thüringen, Unstrut-Hainich-Kreis, Thüringen, 99974, Deutschland",https://www.bratwurstmuseum.de/,See website,FALSE,https://logo.clearbit.com/bratwurstmuseum.de?size=512,history,FALSE
deutsches-motorrollermuseum-kaub-germany,Deutsches Motorrollermuseum,Kaub,Rheinland-Pfalz,Germany,50.089500,7.759490,"62, Gartenstraße, Kaub, Loreley, Rhein-Lahn-Kreis, Rheinland-Pfalz, 56349, Deutschland",http://www.motorrollermuseum.de/,See website,FALSE,https://logo.clearbit.com/motorrollermuseum.de?size=512,history,FALSE
linderhof-palace-ettal-germany,Linderhof Palace,Ettal,Bayern,Germany,47.571619,10.960754,"232/E4, Ettal, Unterammergau (VGem), Landkreis Garmisch-Partenkirchen, Bayern, 82467, Deutschland",http://schlosslinderhof.de/,See website,FALSE,https://logo.clearbit.com/schlosslinderhof.de?size=512,history,FALSE
